procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8144888 132616 7477296    0    0    24    75  100  104 21  3 76  0  0
 2  0      0 8133028 132616 7477320    0    0     0     0 30475 15575  9 14 77  0  0
 3  0      0 8143252 132616 7477320    0    0     0     0 30108 16673  9 15 76  0  0
 1  0      0 8144520 132616 7477320    0    0     0     0 31810 16624  9 15 77  0  0
 3  0      0 8134992 132616 7477320    0    0     0    48 30099 16421  9 15 76  0  0
 1  0      0 8133804 132616 7477320    0    0     0     0 29270 15676  9 14 77  0  0
 1  0      0 8136488 132624 7477320    0    0     0    16 31439 15777 10 14 76  0  0
 2  0      0 8143496 132624 7477320    0    0     0     0 31120 15858 10 15 76  0  0
 2  0      0 8143284 132624 7477320    0    0     0     0 29437 14374  9 14 76  0  0
 5  0      0 8147540 132624 7477320    0    0     0     0 30375 15679  9 15 76  0  0
 6  0      0 8149500 132624 7477320    0    0     0     0 30073 15794 10 14 76  0  0
 1  0      0 8137660 132624 7477320    0    0     0     0 30158 15295  9 15 76  0  0
 2  0      0 8140456 132640 7477320    0    0     0    24 30265 15960  9 14 76  0  0
 2  0      0 8153448 132640 7477320    0    0     0     0 29432 16277  9 14 76  0  0
 1  0      0 8145312 132640 7477320    0    0     0     0 29849 15839 10 14 76  0  0
 1  0      0 8142008 132640 7477320    0    0     0     4 31518 15803  9 15 76  0  0
 1  0      0 8146416 132640 7477320    0    0     0     0 29741 15328  9 15 77  0  0
 4  0      0 8140792 132640 7477320    0    0     0     4 29458 14832  9 15 76  0  0
 1  0      0 8142304 132648 7477320    0    0     0    20 32186 16795  9 15 76  0  0
 2  0      0 8132876 132648 7477320    0    0     0     0 32102 16457  9 15 76  0  0
 2  0      0 8146440 132648 7477320    0    0     0    12 32443 17718  9 14 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8140244 132652 7477320    0    0     0     8 31285 15897  9 15 76  0  0
 1  0      0 8140164 132652 7477320    0    0     0     0 30419 15008  9 14 76  0  0
 2  0      0 8136076 132660 7477320    0    0     0    12 30481 15925 10 14 76  0  0
 1  0      0 8147128 132660 7477320    0    0     0     0 31237 16052  9 14 76  0  0
 1  0      0 8140096 132660 7477320    0    0     0     0 29990 16118 10 14 76  0  0
 1  0      0 8139700 132660 7477320    0    0     0     0 30376 16271 10 15 76  0  0
 1  0      0 8138408 132660 7477320    0    0     0     0 30764 16638 10 14 76  0  0
 2  0      0 8146656 132660 7477320    0    0     0     0 28605 14643  9 15 76  0  0
 1  0      0 8145420 132668 7477320    0    0     0    12 29159 14324  9 15 76  0  0
 1  0      0 8129236 132668 7477320    0    0     0     0 30153 15662  9 15 76  0  0
 2  0      0 8140332 132668 7477320    0    0     0     0 28745 14216  9 15 76  0  0
 2  0      0 8138204 132668 7477320    0    0     0     0 30736 16229  9 15 76  0  0
